Company,Valuation,Industry,City,Country,Continent,Funding,Select Investors
Farmers Business Network,4000000000,Other,San Carlos,United States,North America,870000000,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
Houzz,4000000000,E-commerce & direct-to-consumer,Palo Alto,United States,North America,614000000,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
MEGVII,4000000000,Artificial intelligence,Beijing,China,Asia,1000000000,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Melio,4000000000,Fintech,New York,United States,North America,504000000,"Accel, Aleph, American Express Ventures"
Next Insurance,4000000000,Fintech,Palo Alto,United States,North America,881000000,"Zeev Ventures, Ribbit Capital, TLV Partners"
Olive,4000000000,Internet software & services,Columbus,United States,North America,856000000,"Drive Capital, General Catalyst, Ascension Ventures"
Patreon,4000000000,Internet software & services,San Francisco,United States,North America,413000000,"Index Ventures, Thrive Capital, CRV"
PointClickCare,4000000000,Internet software & services,Mississauga,Canada,North America,230000000,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity"
Rubrik,4000000000,Data management & analytics,Palo Alto,United States,North America,553000000,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Vuori,4000000000,E-commerce & direct-to-consumer,Carlsbad,United States,North America,445000000,"SoftBank Group, Norwest Venture Partners"
Webflow,4000000000,Internet software & services,San Francisco,United States,North America,335000000,"Accel, Silversmith Capital Partners, capitalG"
Yuga Labs,4000000000,Fintech,Miami,United States,North America,450000000,"Andreessen Horowitz, Thrive Capital, Sound Ventures"
Zapier,4000000000,Internet software & services,Sunnyvale,United States,North America,1000000,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
Dadi Cinema,3000000000,Other,Shenzhen,China,Asia,154000000,Alibaba Pictures Group
Kurly,3000000000,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,770000000,"Sequoia Capital China, DST Global, DST Global"
Moglix,3000000000,E-commerce & direct-to-consumer,,Singapore,Asia,471000000,"Jungle Ventures, Accel, Venture Highway"
OpenAI,3000000000,Artificial intelligence,San Francisco,United States,North America,1000000000,Khosla Ventures
Upstox,3000000000,Fintech,Mumbai,India,Asia,54000000,"Tiger Global Management, Kalaari Capital"
Vista Global,3000000000,Other,Dubai,United Arab Emirates,Asia,418000000,Rhone Capital
Yixia,3000000000,Mobile & telecommunications,Beijing,China,Asia,775000000,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Automattic,3000000000,Internet software & services,San Francisco,United States,North America,859000000,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
OakNorth Bank,3000000000,Fintech,London,United Kingdom,Europe,1000000000,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Worldcoin,3000000000,Fintech,San Francisco,United States,North America,125000000,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
Hive Box,3000000000,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,1000000000,"Eastern Bell Capital, SF Holding Co, STO Express"
Trax,3000000000,Artificial intelligence,,Singapore,Asia,1000000000,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
MessageBird,3000000000,Mobile & telecommunications,Amsterdam,Netherlands,Europe,1000000000,"Y Combinator, Atomico, Accel"
Cohesity,3000000000,Data management & analytics,San Jose,United States,North America,660000000,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Cybereason,3000000000,Cybersecurity,Boston,United States,North America,714000000,"SoftBank Group, CRV, Spark Capital"
A24 Films,3000000000,Other,New York,United States,North America,225000000,"Stripes Group, Neuberger Berman"
Acronis,3000000000,Cybersecurity,Schaffhausen,Switzerland,Europe,408000000,"Goldman Sachs, VebVentures, Insight Partners"
Aura,3000000000,Cybersecurity,Burlington,United States,North America,500000000,"Warburg Pincus, General Catalyst"
BYTON,3000000000,Auto & transportation,Nanjing,China,Asia,1000000000,"FAW Group, Tencent Holdings, Tus Holdings"
Cato Networks,3000000000,Cybersecurity,Tel Aviv,Israel,Asia,532000000,"Aspect Ventures, SingTel Innov8, Greylock Partners"
Digit Insurance,3000000000,Fintech,Bengaluru,India,Asia,531000000,"Fairfax Financial Holdings, A91 Partners, TVS Capital"
Fetch Rewards,3000000000,E-commerce & direct-to-consumer,Madison,United States,North America,582000000,"Greycroft, Loeb.NYC, DST Global"
Games24x7,3000000000,Internet software & services,Mumbai,India,Asia,75000000,"Tiger Global Management, The Raine Group, Malabar Investments"
GoStudent,3000000000,Edtech,Vienna,Austria,Europe,685000000,"DN Capital, Left Lane Capital, Coatue Management"
Immutable,3000000000,Fintech,Sydney,Australia,Oceania,280000000,"Fabric Ventures, AirTree Ventures, Temasek"
Infra.Market,3000000000,E-commerce & direct-to-consumer,Thane,India,Asia,274000000,"Accel, Tiger Global Management, Nexus Venture Partners"
Side,3000000000,Internet software & services,San Francisco,United States,North America,314000000,"Coatue Managemeny, Trinity Ventures, Matrix Partners"
SiFive,3000000000,Hardware,San Mateo,United States,North America,366000000,"Sutter Hill Ventures, Osage University Partners, Spark Capital"
Somatus,3000000000,Health,McLean,United States,North America,465000000,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital"
Sysdig,3000000000,Cybersecurity,San Francisco,United States,North America,730000000,"Accel, Bain Capital Ventures, Insight Partners"
Uniphore,3000000000,Artificial Intelligence,Palo Alto,United States,North America,607000000,"Chiratae Ventures, March Capital Partners, National Grid Partners"
Varo Bank,3000000000,Fintech,San Francisco,United States,North America,987000000,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
Vercel,3000000000,Internet software & services,San Francisco,United States,North America,313000000,"CRV, Accel, Google Ventures"
Oura,3000000000,Health,Oulu,Finland,Europe,148000000,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
Unacademy,3000000000,Edtech,Bengaluru,India,Asia,789000000,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
Axonius,3000000000,Cybersecurity,New York,United States,North America,395000000,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
Clari,3000000000,Internet software & services,Sunnyvale,United States,North America,496000000,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
ManoMano,3000000000,E-commerce & direct-to-consumer,Paris,France,Europe,706000000,"General Atlantic, Piton Capital, Partech Partners"
Pendo,3000000000,Internet software & services,Raleigh,United States,North America,357000000,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Plume,3000000000,Internet software & services,Palo Alto,United States,North America,722000000,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
JumpCloud,3000000000,Data management & analytics,Louisville,United States,North America,407000000,"Foundry Group, General Atlantic, BlackRock"
Project44,3000000000,"Supply chain, logistics, & delivery",Chicago,United States,North America,818000000,"Emergence Capital Partners, 8VC, Chicago Ventures"
Sourcegraph,3000000000,Internet software & services,San Francisco,United States,North America,248000000,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
OwnBackup,3000000000,Data management & analytics,Englewood Cliffs,United States,North America,507000000,"Insight Partners, Salesforce Ventures, Vertex Ventures"
Starburst,3000000000,Data management & analytics,Boston,United States,North America,414000000,"Index Ventures, Coatue Management, Andreessen Horowitz"
Youxia Motors,3000000000,Auto & transportation,Shanghai,China,Asia,1000000000,"China Environmental Protection Industry, China Fortune Ocean"
Zetwerk,3000000000,Internet software & services,Bengaluru,India,Asia,543000000,"Sequoia Capital India, Kae Capital, Accel"
Cars24,3000000000,E-commerce & direct-to-consumer,Gurgaon,India,Asia,1000000000,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
Ethos,3000000000,Fintech,San Francisco,United States,North America,407000000,"Sequoia Capital, Google Ventures, Accel"
Komodo Health,3000000000,Health,San Francisco,United States,North America,314000000,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
Nextiva,3000000000,Internet software & services,Scottsdale,United States,North America,200000000,Goldman Sachs Asset Management
o9 Solutions,3000000000,Artificial intelligence,Dallas,United States,North America,417000000,KKR
Scopely,3000000000,Mobile & telecommunications,Culver City,United States,North America,999000000,"Greycroft, Sands Capital, Revolution Growth"
Sila Nanotechnologies,3000000000,Other,Alameda,United States,North America,880000000,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Via,3000000000,Auto & transportation,New York,United States,North America,777000000,"83North, RiverPark Ventures, Pitango Venture Capital"
Transmit Security,3000000000,Cybersecurity,Tel Aviv,Israel,Asia,583000000,"General Atlantic, Insight Partners, Vintage Investment Partners"
BlockDaemon,3000000000,Fintech,Los Angeles,United States,North America,398000000,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
Convoy,3000000000,"Supply chain, logistics, & delivery",Seattle,United States,North America,666000000,"Greylock Partners, capitalG, Y Combinator"
Dream Games,3000000000,Mobile & telecommunications,Istanbul,Turkey,Europe,468000000,"Makers Fund, Index Ventures, Inova Ventures Participacees"
Illumio,3000000000,Cybersecurity,Sunnyvale,United States,North America,558000000,"Data Collective, Formation 8, General Catalyst Partners"
MasterClass,3000000000,Edtech,San Francisco,United States,North America,461000000,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
Graphcore,3000000000,Artificial intelligence,Bristol,United Kingdom,Europe,682000000,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
ApplyBoard,3000000000,Edtech,Kitchener,Canada,North America,483000000,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
Blockstream,3000000000,Fintech,Vancouver,Canada,North America,299000000,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
Cedar,3000000000,Fintech,New York,United States,North America,326000000,"Thrive Capital, Founders Fund, Cocnord Health Partners"
ContentSquare,3000000000,Internet software & services,Paris,France,Europe,812000000,"Highland Europe, Eurazeo, Canaan Partners"
Eruditus Executive Education,3000000000,Edtech,Mumbai,India,Asia,591000000,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
Innovaccer,3000000000,Health,San Francisco,United States,North America,379000000,"M12, WestBridge Capital, Lightspeed Venture Partners"
Ironclad,3000000000,Internet software & services,Sacramento,United States,North America,334000000,"Accel, Sequoia Capital, Y Combinator"
Skims,3000000000,E-commerce & direct-to-consumer,Los Angeles,United States,North America,399000000,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
Thumbtack,3000000000,E-commerce & direct-to-consumer,San Francisco,United States,North America,698000000,"Tiger Global, Sequoia Capital, Google Capital"
Zipline,3000000000,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,483000000,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
BharatPe,3000000000,Fintech,New Delhi,India,Asia,600000000,"Insight Partners, Sequoia Capital India, BEENEXT"
DriveWealth,3000000000,Fintech,Chatham,United States,North America,551000000,"Point72 Ventures, Route 66 Ventures, Accel"
Flink Food,3000000000,E-commerce & direct-to-consumer,Berlin,Germany,Europe,1000000000,"Mubadala Capital, Bond, Prosus Ventures"
PsiQuantum,3000000000,Hardware,Palo Alto,United States,North America,665000000,"Playground Global, M12, BlackRock"
SpotOn,3000000000,Fintech,San Francisco,United States,North America,628000000,"Dragoneer Investment Group, DST Global, Franklin Templeton"
Gorillas,3000000000,E-commerce & direct-to-consumer,Berlin,Germany,Europe,1000000000,"Coatue Management, Atlantic Food Labs, DST Global"
HighRadius,3000000000,Fintech,Houston,United States,North America,475000000,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Loft,3000000000,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,788000000,"Monashees+, Andreessen Horowitz, QED Investors"
Nuvemshop,3000000000,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,628000000,"Kaszek Ventures, Qualcomm Ventures, Accel"
Udaan,3000000000,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,1000000000,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Workrise,3000000000,Internet software & services,Austin,United States,North America,722000000,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
ActiveCampaign,3000000000,Internet software & services,Chicago,United States,North America,360000000,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
Age of Learning,3000000000,Edtech,Glendale,United States,North America,500000000,Iconiq Capital
Amber Group,3000000000,Fintech,,Hong Kong,Asia,328000000,"Tiger Global Management, Tiger Brokers, DCM Ventures"
Anchorage Digital,3000000000,Fintech,San Francisco,United States,North America,487000000,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
BlockFi,3000000000,Fintech,Jersey City,United States,North America,1000000000,"ConsenSys Ventures, Valar Ventures, PUC"
Calendly,3000000000,Internet software & services,Atlanta,United States,North America,351000000,"ICONIQ Capital, OpenView Venture Partners"
Carbon Health,3000000000,Health,San Francisco,United States,North America,523000000,"Brookfield Asset Management, Blackstone, Data Collective"
Circle,3000000000,Fintech,Boston,United States,North America,711000000,"General Catalyst, Digital Currency Group, Accel"
CMR Surgical,3000000000,Health,Cambridge,United Kingdom,Europe,975000000,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
Contentful,3000000000,Internet software & services,Berlin,Germany,Europe,333000000,"Balderton Capital, General Catalyst, Tiger Global Management"
Cross River Bank,3000000000,Fintech,Fort Lee,United States,North America,775000000,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
Delhivery,3000000000,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,1000000000,"Times Internet, Nexus Venture Partners, SoftBank Group"
FlixBus,3000000000,Auto & transportation,Munich,Germany,Europe,1000000000,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
Flutterwave,3000000000,Fintech,San Francisco,United States,North America,474000000,"Green Visor Capital, CRE Venture Capital, Greycroft"
Forter,3000000000,Cybersecurity,New York,United States,North America,525000000,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
Grafana Labs,3000000000,Internet software & services,New York,United States,North America,535000000,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
Groww,3000000000,Fintech,Bengaluru,India,Asia,393000000,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
Inxeption,3000000000,Fintech,San Francisco,United States,North America,187000000,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
KK Group,3000000000,E-commerce & direct-to-consumer,Dongguan,China,Asia,612000000,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Lattice,3000000000,Internet software & services,San Francisco,United States,North America,329000000,"Khosla Ventures, Thrive Capital, Y Combinator"
LaunchDarkly,3000000000,Internet software & services,Oakland,United States,North America,330000000,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
Lucid,3000000000,Internet software & services,South Jordan,United States,North America,170000000,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
Outschool,3000000000,Edtech,San Francisco,United States,North America,240000000,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
Podium,3000000000,Internet software & services,Lehi,United States,North America,419000000,"Accel, Summit Partners, Google Ventures"
Remote,3000000000,Fintech,San Francisco,United States,North America,496000000,"Index Ventures, Sequoia Capital, General Catalyst"
Seismic,3000000000,Internet software & services,San Diego,United States,North America,427000000,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Sky Mavis,3000000000,Internet software & services,Ho Chi Minh City,Vietnam,Asia,311000000,"Fabric Ventures, 500 Global, Standard Crypto"
SouChe Holdings,3000000000,E-commerce & direct-to-consumer,Hangzhou,China,Asia,1000000000,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
TradingView,3000000000,Fintech,Westerville,United States,North America,339000000,"Tiger Global Management, Insight Partners, Jump Capital"
Traveloka,3000000000,Travel,Jakarta,Indonesia,Asia,1000000000,"Global Founders Capital, East Ventures, Expedia Inc."
wefox,3000000000,Fintech,Berlin,Germany,Europe,919000000,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Wildlife Studios,3000000000,Other,Sao Paulo,Brazil,South America,180000000,"Benchmark, Bessemer Venture Partners"
1047 Games,2000000000,Internet software & services,Zephyr Cove,United States,North America,127000000,"VGames, Lakestar, Galaxy Interactive"
Baiwang,2000000000,Fintech,Beijing,China,Asia,224000000,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
Boba,2000000000,Fintech,San Francisco,United States,North America,45000000,"DeFi Technologies, Hypersphere Ventures, M13"
Bought By Many,2000000000,Fintech,London,United Kingdom,Europe,477000000,"Octopus Ventures, Munich Re Ventures, CommerzVentures"
Cambridge Mobile Telematics,2000000000,Mobile & telecommunications,Cambridge,United States,North America,503000000,SoftBank Group
Carzone,2000000000,E-commerce & direct-to-consumer,Jiangsu,China,Asia,946000000,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
CFGI,2000000000,Fintech,Boston,United States,North America,19000000,"The Carlyle Group, CVC Capital Partners"
Cgtz,2000000000,Fintech,Hangzhou,China,Asia,536000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Changingedu,2000000000,Edtech,Shanghai,China,Asia,188000000,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
eDaili,2000000000,E-commerce & direct-to-consumer,Shanghai,China,Asia,101000000,"K2VC, Lightspeed China Partners, Sky9 Capital"
ENOVATE,2000000000,Auto & transportation,Shanghai,China,Asia,1000000000,Automobile Industry Guidance Fund
Fenbi Education,2000000000,Edtech,Beijing,China,Asia,390000000,"Trustbridge Partners, Hony Capital, IDG Capital"
Hesai Tech,2000000000,Artificial intelligence,Shanghai,China,Asia,717000000,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners"
Il Makiage,2000000000,E-commerce & direct-to-consumer,New York,United States,North America,29000000,"L Catterton, Franklin Templeton, First Light Capital Group"
Iluvatar CoreX,2000000000,Hardware,Shanghai,China,Asia,186000000,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
Jusfoun Big Data,2000000000,Data management & analytics,Beijing,China,Asia,137000000,"Boxin Capital, DT Capital Partners, IDG Capital"
Pagaya,2000000000,Fintech,Tel Aviv,Israel,Asia,417000000,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office"
PolicyBazaar,2000000000,Fintech,Gurgaon,India,Asia,634000000,"Info Edge, Softbank Capital"
Promasidor Holdings,2000000000,Consumer & retail,Bryanston,South Africa,Asia,556000000,"IFC, Ajinomoto"
Tubatu.com,2000000000,E-commerce & direct-to-consumer,Shenzhen,China,Asia,216000000,"Sequoia Capital China, Matrix Partners China, 58.com"
Ximalaya FM,2000000000,Mobile & telecommunications,Shanghai,China,Asia,71000000,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
HEYTEA,2000000000,Other,Shenzhen,China,Asia,594000000,"Sequoia Capital China, Tencent Investment, BA Capital"
BGL Group,2000000000,Fintech,Peterborough,United Kingdom,Europe,696000000,CPP Investment Board
Claroty,2000000000,Cybersecurity,New York,United States,North America,640000000,"Bessemer Venture Partners, MoreVC, Team8"
Improbable,2000000000,Other,London,United Kingdom,Europe,754000000,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
InMobi,2000000000,Mobile & telecommunications,Bengaluru,India,Asia,221000000,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
MindMaze,2000000000,Health,Lausanne,Switzerland,Europe,340000000,Hinduja Group
Ninja Van,2000000000,"Supply chain, logistics, & delivery",,Singapore,Asia,975000000,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
Pantheon Systems,2000000000,Internet software & services,San Francisco,United States,North America,200000000,"Foundry Group, Scale Venture Partners, SoftBank Group"
SellerX,2000000000,E-commerce & direct-to-consumer,Berlin,Germany,Europe,766000000,"Cherry Ventures, Felix Capital, 83North"
AppDirect,2000000000,E-commerce & direct-to-consumer,San Francisco,United States,North America,431000000,"Mithril, iNovia Capital, Foundry Group"
BrewDog,2000000000,Consumer & retail,Aberdeen,United Kingdom,Europe,233000000,"TSG Consumer Partners, Crowdcube"
Enflame,2000000000,Hardware,Shanghai,China,Asia,472000000,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
Tradeshift,2000000000,Fintech,San Francisco,United States,North America,861000000,"Notion Capital, Scentan Ventures, Kite Ventures"
HeartFlow,2000000000,Health,Redwood City,United States,North America,568000000,"BlueCross BlueShield Venture Partners, US Venture Partners"
Extend,2000000000,Fintech,San Francisco,United States,North America,320000000,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
Airbyte,2000000000,Internet software & services,San Francisco,United States,North America,181000000,"Accel, Benchmark, SV Angel"
Andela,2000000000,Internet software & services,New York,United States,North America,381000000,"Spark Capital, Google Ventures, CRE Venture Capital"
Ascend Money,2000000000,Fintech,Bangkok,Thailand,Asia,150000000,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
Athelas,2000000000,Health,Mountain View,United States,North America,150000000,"Sequoia Capital, General Catalyst, Human Capital"
Built,2000000000,Internet software & services,Nashville,United States,North America,289000000,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
candy.com,2000000000,Fintech,New York,United States,North America,100000000,"Insight Partners, Softbank Group, Connect Ventures"
Cognite,2000000000,Data management & analytics,Lysaker,Norway,Europe,225000000,"Technology Crossover Ventures, Accel, Aker"
CoinList,2000000000,Fintech,San Francisco,United States,North America,119000000,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Collective Health,2000000000,Fintech,San Francisco,United States,North America,719000000,"New Enterprise Associates, Founders Fund, Google Ventures"
Culture Amp,2000000000,Internet software & services,Richmond,Australia,Oceania,257000000,"Felicis Ventures, Index Ventures, Blackbird Ventures"
Devo,2000000000,Data management & analytics,Cambridge,United States,North America,381000000,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
ElasticRun,2000000000,"Supply chain, logistics, & delivery",Pune,India,Asia,435000000,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures"
Gett,2000000000,Auto & transportation,London,United Kingdom,Europe,828000000,"Volkswagen, Access Industries, Vostok New Ventures"
ID.me,2000000000,Cybersecurity,McLean,United States,North America,142000000,"Moonshots Capital, BoxGroup, Blu Venture Investors"
impact.com,2000000000,Internet software & services,Santa Barbara,United States,North America,261000000,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
Ledger,2000000000,Hardware,Paris,France,Europe,466000000,"Digital Currency Group, Draper Esprit, Korelya Capital"
Lusha,2000000000,Internet software & services,New York,United States,North America,245000000,"PSG, ION Crossover Partners"
Matillion,2000000000,Data management & analytics,Altrincham,United Kingdom,Europe,310000000,"Scale Venture Partners, Sapphire Ventures, Battery Ventures"
MOLOCO,2000000000,Artificial intelligence,Redwood City,United States,North America,192000000,"Smilegate Investment, DSC Investments, KTB Ventures"
Mu Sigma,2000000000,Data management & analytics,Northbrook,United States,North America,211000000,"Sequoia Capital, General Atlantic"
Next Silicon,2000000000,Hardware,Tel Aviv,Israel,Asia,203000000,"Amiti Ventures, Playground Global, Aleph"
NotCo,2000000000,Artificial Intelligence,Santiago,Chile,South America,370000000,"Kaszek Ventures, SOSV, Tiger Global Management"
Olist,2000000000,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,320000000,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund"
Pacaso,2000000000,Fintech,Cincinnati,United States,North America,217000000,"Global Founders Capital, Shea Ventures, Greycroft"
Paradox,2000000000,Internet software & services,Scottsdale,United States,North America,253000000,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
Persona,2000000000,Cybersecurity,San Francisco,United States,North America,218000000,"Coatue Management, Index Ventures, Founders Fund"
SmartRecruiters,2000000000,Internet software & services,San Francisco,United States,North America,225000000,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
Snapdocs,2000000000,Fintech,San Francisco,United States,North America,253000000,"Sequoia Capital, Y Combinator, F-Prime Capital"
Solugen,2000000000,Other,Houston,United States,North America,435000000,"Fifty Years Fund, Refactor Capital, Temasek"
StoreDot,2000000000,Other,Herzliya,Israel,Asia,190000000,"Samsung Ventures, SingulariTeam, BP Ventures"
Strava,2000000000,Internet software & services,San Francisco,United States,North America,152000000,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
Temporal,2000000000,Internet software & services,Bellevue,United States,North America,129000000,"Amplify Partners, Addition, Madrona Venture Group"
TuJia,2000000000,Travel,Beijing,China,Asia,755000000,"GGV Capital, QiMing Venture Partnersl"
Uplight,2000000000,Other,Boulder,United States,North America,Unknown,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
Veho,2000000000,"Supply chain, logistics, & delivery",Boulder,United States,North America,299000000,"General Catalyst, Origin Ventures, Fontinalis Partners"
Veriff,2000000000,Artificial intelligence,Tallinn,Estonia,Europe,177000000,"Accel, Institutional Venture Partners, Tiger Global Management"
Whatnot,2000000000,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,225000000,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
Zenoti,2000000000,Internet software & services,Bellevue,United States,North America,331000000,"Norwest Venture Partners, Accel, Tiger Global Management"
Zeta,2000000000,Fintech,San Francisco,United States,North America,340000000,"Sodexo Ventures, SoftBank Group"
Loom,2000000000,Internet software & services,San Francisco,United States,North America,204000000,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
Mobile Premier League,2000000000,Internet software & services,Bengaluru,India,Asia,376000000,"Sequoia Capital India, RTP Global, Go-Ventures"
Uala,2000000000,Fintech,Buenos Aires,Argentina,South America,544000000,"Soros Fund Management, Ribbit Capital, Monashees+"
Wenheyou,2000000000,Other,Hunan,China,Asia,90000000,"Sequoia Capital China, Warburg Pincus, IDG Capital"
Star Charge,2000000000,Auto & transportation,Changzhou,China,Asia,125000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
ABL Space Systems,2000000000,Other,El Segundo,United States,North America,419000000,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
Afiniti,2000000000,Artificial intelligence,Hamilton,Bermuda,North America,120000000,GAM Holding
ASAPP,2000000000,Artificial intelligence,New York,United States,North America,380000000,"March Capital Partners, HOF Capital, Emergence Capital Partners"
BitSight Technologies,2000000000,Cybersecurity,Boston,United States,North America,401000000,"Menlo Ventures, GGV Capital, Flybridge Capital Partners"
Cao Cao Mobility,2000000000,Auto & transportation,Hangzhou,China,Asia,744000000,"People Electrical Appliance Group China, Zhongrong International Trust"
Capitolis,2000000000,Fintech,New York,United States,North America,282000000,"Sequoia Capital, Index Ventures, S Capital"
Carbon,2000000000,Hardware,Redwood City,United States,North America,682000000,"Google Ventures, Sequoia Capital, Wakefield Group"
Clio,2000000000,Internet software & services,Burnaby,Canada,North America,386000000,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures"
Cresta,2000000000,Artificial Intelligence,San Francisco,United States,North America,151000000,"Andreessen Horowitz, Greylock Partners, Sequoia Capital"
Exabeam,2000000000,Cybersecurity,Foster City,United States,North America,390000000,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners"
ezCater,2000000000,"Supply chain, logistics, & delivery",Boston,United States,North America,421000000,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
HomeLight,2000000000,Fintech,San Francisco,United States,North America,219000000,"Zeev Ventures, Menlo Ventures,Crosslink Capital"
HoneyBook,2000000000,Internet software & services,San Francisco,United States,North America,498000000,"Norwest Venture Partners, Hillsven Capital, Aleph"
Infinidat,2000000000,Hardware,Waltham,United States,North America,325000000,"TPG Growth, Goldman Sachs"
Mercury,2000000000,Fintech,San Francisco,United States,North America,152000000,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures"
Paxos,2000000000,Fintech,New York,United States,North America,538000000,"Liberty City Ventures, RRE Ventures, Mithril Capital Management"
SafetyCulture,2000000000,Internet software & services,Sydney,Australia,Oceania,222000000,"Blackbird Ventures, IndexVentures, Tiger Global Management"
